customer_id,revenue,most_recent_visit,number_of_orders,recency_days
9436,657,2006-12-16,5,16
15893,689,2006-10-16,8,77
3110,826,2006-03-16,12,291
15262,514,2006-07-18,6,167
17476,904,2006-08-09,10,145
7889,212,2006-07-09,3,176
10024,1398,2006-06-30,15,185
14987,679,2006-06-14,7,201
7512,876,2006-09-03,8,120
26658,729,2006-12-15,8,17
32016,793,2006-08-10,10,144
32578,1011,2006-02-01,13,334
16322,842,2006-06-10,9,205
32382,540,2006-10-29,6,64
10101,1354,2005-11-21,14,406
5484,1686,2006-06-13,18,202
33859,718,2006-09-28,9,95
36212,536,2006-07-26,6,159
11645,576,2006-08-21,6,133
27288,1254,2005-08-03,9,516
28983,946,2006-05-23,7,223
3229,622,2006-07-14,7,171
7903,1089,2006-12-30,10,2
21028,1030,2005-11-08,12,419
35691,792,2006-11-03,8,59
26147,657,2006-10-14,8,79
38463,688,2006-09-04,9,119
27163,614,2006-03-24,7,283
4634,876,2006-12-22,9,10
12037,743,2006-10-13,8,80
7709,1368,2006-06-03,13,212
36584,673,2006-11-03,8,59
22085,823,2005-08-30,8,489
7306,1575,2006-08-27,15,127
12102,899,2006-10-11,10,82
28286,1380,2006-07-08,17,177
31561,1045,2005-11-23,8,404
34620,279,2005-09-07,4,481
36432,1364,2006-10-27,15,66
11908,892,2006-09-30,12,93
17542,694,2006-10-27,8,66
25480,626,2006-07-02,8,183
37169,478,2006-09-18,6,105
7139,585,2006-08-12,6,142
6621,748,2006-10-11,11,82
3897,1049,2006-10-20,12,73
14852,1295,2006-10-02,15,91
20180,1714,2006-11-01,14,61
2251,951,2006-11-11,13,51
12603,433,2006-06-25,5,190
36550,593,2006-06-11,7,204
18377,562,2006-08-16,9,138
25953,701,2006-07-06,8,179
37553,749,2006-05-12,9,234
10408,762,2006-08-26,9,128
11041,840,2006-04-14,8,262
1617,1016,2005-10-01,8,457
11458,895,2006-03-12,13,295
31337,704,2006-04-13,9,263
25972,1064,2006-10-01,9,92
76,858,2006-11-15,7,47
27625,892,2006-04-29,11,247
36660,305,2006-08-22,6,132
19829,957,2006-06-27,11,188
34507,1711,2006-04-20,12,256
8678,1005,2006-07-30,11,155
17400,955,2006-06-21,9,194
3778,447,2006-09-11,10,112
26144,1127,2006-02-18,12,317
24684,1061,2006-06-24,11,191
5872,686,2006-07-10,9,175
11920,907,2006-07-10,10,175
31516,670,2006-10-04,7,89
7222,663,2005-05-08,6,603
29184,720,2006-11-23,7,39
24943,1358,2006-09-14,12,109
34727,1688,2006-02-24,13,311
534,759,2006-02-10,8,325
5110,1060,2006-06-01,10,214
2354,1226,2006-09-22,13,101
9855,741,2006-05-11,8,235
3951,1096,2006-11-05,14,57
37275,1102,2006-05-23,8,223
11633,797,2006-08-24,11,130
33972,1278,2005-10-12,8,446
19828,783,2006-06-16,8,199
23712,1333,2006-09-04,11,119
31394,541,2006-07-25,9,160
19465,1411,2006-12-24,14,8
18150,1204,2006-08-13,14,141
11001,578,2005-10-21,7,437
6863,1042,2006-09-15,8,108
38918,1271,2006-10-31,11,62
7797,1127,2006-01-26,12,340
36878,716,2005-10-03,6,455
18898,1120,2006-11-08,10,54
28078,1229,2006-12-01,14,31
23679,920,2006-10-30,8,63
6168,1011,2006-09-22,12,101
10477,804,2006-10-05,7,88
30701,1306,2006-07-29,14,156
35327,541,2005-09-11,5,477
17976,1105,2006-05-15,11,231
5942,1224,2006-09-21,13,102
21540,663,2006-03-06,8,301
18073,658,2006-08-08,7,146
36364,1138,2006-05-22,12,224
7965,970,2006-03-01,12,306
12382,1075,2005-05-24,8,587
587,550,2006-12-19,6,13
14662,1158,2006-09-07,8,116
19858,1279,2006-10-17,12,76
17768,1277,2006-08-05,14,149
32782,426,2006-09-07,7,116
27160,873,2006-08-07,12,147
30018,1031,2006-02-03,9,332
11976,1156,2006-10-15,10,78
23554,1258,2006-10-25,13,68
30422,868,2006-12-28,8,4
29083,1612,2006-10-14,14,79
10594,1077,2006-06-16,12,199
23965,575,2005-10-04,4,454
18457,886,2006-10-01,10,92
35924,477,2006-09-19,7,104
36321,1368,2006-11-23,14,39
22057,602,2006-05-23,5,223
19912,1385,2006-12-04,15,28
33867,408,2006-05-18,6,228
8265,483,2006-06-16,5,199
19206,1349,2006-09-12,11,111
28307,970,2006-08-04,10,150
33484,1512,2006-11-09,18,53
16714,824,2006-09-28,7,95
29863,541,2006-05-14,6,232
39087,700,2006-08-28,7,126
4468,849,2005-08-18,9,501
19344,1395,2006-08-20,11,134
48,1163,2006-12-03,13,29
13615,681,2005-08-31,7,488
24650,1189,2006-10-29,12,64
5473,1544,2006-04-06,15,270
37849,1124,2006-05-28,12,218
23570,569,2005-10-18,6,440
1107,626,2005-10-29,7,429
20800,1296,2006-08-24,17,130
1926,865,2006-11-04,11,58
26871,829,2006-07-12,8,173
10524,1338,2006-04-07,13,269
27104,696,2006-11-12,10,50
23905,832,2006-11-01,8,61
9065,1071,2006-08-07,10,147
7754,1084,2005-11-28,8,399
1367,631,2005-09-21,6,467
36073,878,2006-05-03,7,243
36441,865,2006-10-02,9,91
32082,992,2006-07-01,11,184
26246,685,2006-02-13,7,322
18391,682,2006-07-19,7,166
10733,1145,2006-07-26,10,159
20314,1395,2006-11-07,14,55
23857,1507,2006-12-05,15,27
12687,1010,2006-09-20,11,103
12231,553,2006-08-07,6,147
10981,1308,2006-06-07,10,208
7377,554,2006-08-04,7,150
29870,1141,2006-09-08,14,115
35989,1113,2006-10-16,12,77
20827,1427,2006-12-02,13,30
2796,706,2006-11-05,11,57
23995,898,2005-12-03,9,394
35010,882,2006-11-30,13,32
16635,629,2006-08-06,7,148
9651,1053,2006-12-05,9,27
16994,834,2006-09-17,9,106
2708,456,2006-08-24,4,130
11947,1016,2006-07-14,9,171
26824,988,2006-11-09,9,53
13094,904,2006-08-21,9,133
15985,861,2006-11-02,11,60
27453,1135,2006-07-30,13,155
19055,620,2006-10-08,7,85
26448,1222,2006-07-15,12,170
9584,610,2006-12-26,9,6
13993,1156,2006-11-27,16,35
29797,1016,2006-09-21,10,102
31458,615,2006-05-31,8,215
7725,886,2006-09-23,11,100
38748,385,2006-07-18,4,167
32678,835,2006-12-16,9,16
11153,794,2006-05-20,10,226
27171,1510,2006-08-19,15,135
15030,431,2006-05-20,7,226
24320,611,2006-08-09,8,145
22217,682,2005-08-28,8,491
23884,812,2006-07-05,9,180
19494,348,2006-04-25,2,251
33388,1204,2006-07-14,12,171
7906,1658,2006-10-31,18,62
7365,456,2006-08-26,7,128
11062,1099,2006-08-23,12,131
4334,502,2004-11-18,5,774
13733,1500,2006-10-26,15,67
20671,1548,2006-09-21,14,102
27080,525,2005-08-24,5,495
38138,672,2005-12-28,6,369
2866,1288,2006-07-02,14,183
5069,1193,2006-07-27,14,158
31473,642,2006-08-10,10,144
3062,1127,2005-12-09,11,388
9151,352,2006-11-20,4,42
26149,1324,2006-07-30,12,155
26886,735,2006-07-07,11,178
31422,419,2006-05-07,4,239
37487,1569,2006-08-28,13,126
21360,1571,2006-06-10,15,205
4826,1141,2006-05-06,10,240
476,1113,2006-09-29,10,94
21,972,2006-05-12,7,234
12935,957,2005-12-01,9,396
34104,1071,2006-06-12,12,203
24831,843,2005-11-28,9,399
4123,733,2006-06-13,10,202
39123,1022,2006-08-05,12,149
30038,782,2006-08-10,10,144
21955,666,2005-07-12,6,538
23240,665,2006-07-21,9,164
